Date;SIE;ALVG;VOWG
13-Jun-2023;164.4600;208.9500;130.8400
12-Jun-2023;160.7800;208.6000;129.5000
09-Jun-2023;158.1400;207.9500;126.2800
08-Jun-2023;158.7600;208.9000;125.7600
07-Jun-2023;158.4600;208.8500;124.3400
06-Jun-2023;158.3600;210.5000;124.0400
05-Jun-2023;158.5200;209.9500;122.5400
02-Jun-2023;159.2800;210.1500;121.5400
01-Jun-2023;156.6800;204.2000;118.0800
31-Mai-2023;153.3400;199.9800;116.5800
30-Mai-2023;156.6600;207.3500;118.8000
29-Mai-2023;156.0000;207.7500;120.2400
26-Mai-2023;156.6800;207.4000;119.7600
25-Mai-2023;153.6400;205.6000;118.1400
24-Mai-2023;152.2600;205.9000;119.3200
23-Mai-2023;155.4400;211.6000;121.1600
22-Mai-2023;157.9200;211.6000;120.5200
19-Mai-2023;159.7800;212.2500;120.2000
18-Mai-2023;157.7400;210.0500;120.3000
17-Mai-2023;153.4200;208.9000;116.5200
16-Mai-2023;149.6000;209.0500;116.6000
15-Mai-2023;150.6200;210.5500;118.7400
12-Mai-2023;150.1000;212.0000;119.2400
11-Mai-2023;148.8600;211.6000;119.6400
10-Mai-2023;149.1600;212.3500;126.6800
09-Mai-2023;150.6400;215.9000;126.4000
08-Mai-2023;149.8200;217.0000;127.1200
05-Mai-2023;150.4800;215.9500;127.1600
04-Mai-2023;148.5000;220.9500;124.9600
03-Mai-2023;149.4800;223.3500;124.2200
02-Mai-2023;147.3200;222.3500;123.2400
28-Apr-2023;148.9000;227.4500;123.6800
27-Apr-2023;147.3600;226.2500;122.0000
26-Apr-2023;145.6800;223.2000;121.2200
25-Apr-2023;147.3800;224.1000;120.7400
24-Apr-2023;145.6600;223.7500;122.0000
21-Apr-2023;145.6400;222.5500;121.9000
20-Apr-2023;146.0000;222.2500;121.5800
19-Apr-2023;146.5800;221.7500;125.4600
18-Apr-2023;147.2000;219.0000;126.5800
17-Apr-2023;147.0600;216.5000;126.9000
14-Apr-2023;146.1600;219.1000;127.7000
13-Apr-2023;144.2800;219.1000;126.0800
12-Apr-2023;144.8200;218.4000;125.5200
11-Apr-2023;143.3400;216.4000;125.5000
06-Apr-2023;141.1200;216.3500;123.4600
05-Apr-2023;143.9400;213.1000;124.0800
04-Apr-2023;147.5600;213.2000;125.4000
03-Apr-2023;148.2600;212.9500;125.8600
31-Mrz-2023;149.2600;212.8000;125.6400
30-Mrz-2023;148.5200;211.8000;124.6800
29-Mrz-2023;146.3000;209.3500;122.6000
28-Mrz-2023;143.5200;206.1500;121.8800
27-Mrz-2023;141.6600;205.6000;120.8600
24-Mrz-2023;140.5800;205.1500;119.0000
23-Mrz-2023;145.1800;206.8000;122.3800
22-Mrz-2023;144.9400;208.1000;123.8000
21-Mrz-2023;142.7800;208.3000;123.1800
20-Mrz-2023;138.8200;202.4000;120.2400
17-Mrz-2023;137.3600;200.0500;120.4400
16-Mrz-2023;140.9600;205.1000;122.5200
15-Mrz-2023;138.1000;204.1000;123.1800
14-Mrz-2023;145.5800;213.2000;128.4000
13-Mrz-2023;140.9600;210.8500;130.4600
10-Mrz-2023;147.5000;220.2500;135.1000
09-Mrz-2023;151.1600;222.7000;137.2000
08-Mrz-2023;149.8200;222.4000;140.0600
07-Mrz-2023;148.0200;221.4500;138.8000
06-Mrz-2023;147.5200;223.1000;139.6800
03-Mrz-2023;147.0800;221.3500;142.2000
02-Mrz-2023;144.4600;221.0000;128.6200
01-Mrz-2023;145.3400;221.3000;128.5000
28-Feb-2023;144.7000;222.1500;129.1600
27-Feb-2023;143.8000;219.0500;129.3400
24-Feb-2023;141.4600;215.2000;127.8000
23-Feb-2023;145.9800;217.7500;131.9000
22-Feb-2023;144.3400;217.0000;131.2000
21-Feb-2023;143.7400;217.4000;131.0800
20-Feb-2023;144.6600;218.3500;132.7000
17-Feb-2023;145.4400;216.9500;131.2200
16-Feb-2023;147.3800;221.0500;130.9800
15-Feb-2023;148.5000;219.8500;130.9800
14-Feb-2023;145.0200;220.1500;130.2000
13-Feb-2023;146.1600;219.8000;128.3800
10-Feb-2023;145.7400;219.9000;128.6000
09-Feb-2023;149.4200;222.0000;130.2600
08-Feb-2023;140.0600;220.7500;129.3000
07-Feb-2023;140.8600;219.4000;131.2600
06-Feb-2023;142.9600;219.3000;130.3400
03-Feb-2023;145.0200;220.7500;131.9400
02-Feb-2023;143.7200;221.7000;133.3000
01-Feb-2023;143.0000;221.0000;128.4200
31-Jan-2023;142.9000;219.2000;126.9400
30-Jan-2023;143.2600;221.3500;126.2600
27-Jan-2023;144.5000;221.6500;126.0800
26-Jan-2023;144.0600;221.6000;125.0000
25-Jan-2023;142.8200;221.7000;124.1000
24-Jan-2023;143.3000;220.7000;123.8000
23-Jan-2023;143.9200;220.1000;125.1600
20-Jan-2023;141.8800;220.4000;124.2600
19-Jan-2023;140.6000;217.1000;123.1400
18-Jan-2023;144.9600;219.1000;125.2000
17-Jan-2023;145.0000;219.0000;125.2400
16-Jan-2023;142.3200;219.0000;125.7200
